title_jp,title_en,format,source,release_date,end_date,season,episodes,duration (min),genres,score,average_score,popularity
Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,TV,MANGA,"{'year': 2019, 'month': 4, 'day': 6}","{'year': 2019, 'month': 9, 'day': 28}",SPRING,26,24,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",8.0,82,817768
Kimi ni Todoke,Kimi ni Todoke: From Me to You,TV,MANGA,"{'year': 2009, 'month': 10, 'day': 7}","{'year': 2010, 'month': 3, 'day': 31}",FALL,25,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",9.0,79,200082
Kimi ni Todoke 2ND SEASON,Kimi ni Todoke: From Me to You Season 2,TV,MANGA,"{'year': 2011, 'month': 1, 'day': 12}","{'year': 2011, 'month': 3, 'day': 30}",WINTER,13,23,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",8.0,79,98545
Kimi no Iru Machi,A Town Where You Live,TV,MANGA,"{'year': 2013, 'month': 7, 'day': 13}","{'year': 2013, 'month': 9, 'day': 28}",SUMMER,12,21,"['Drama', 'Romance', 'Slice of Life']",7.0,64,28757
Kimi no Na wa.,Your Name.,MOVIE,ORIGINAL,"{'year': 2016, 'month': 8, 'day': 26}","{'year': 2016, 'month': 8, 'day': 26}",SUMMER,1,107,"['Drama', 'Romance', 'Supernatural']",6.0,85,587799
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",Our Last Crusade or the Rise of a New World,TV,LIGHT_NOVEL,"{'year': 2020, 'month': 10, 'day': 7}","{'year': 2020, 'month': 12, 'day': 23}",FALL,12,24,"['Action', 'Fantasy', 'Romance']",5.0,65,86953
Kimi to Boku.,You and Me.,TV,MANGA,"{'year': 2011, 'month': 10, 'day': 4}","{'year': 2011, 'month': 12, 'day': 27}",FALL,13,24,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",8.0,73,35010
Kimi to Boku. 2,You and Me 2,TV,MANGA,"{'year': 2012, 'month': 4, 'day': 3}","{'year': 2012, 'month': 6, 'day': 26}",SPRING,13,24,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",8.0,77,15261
"Kimi to, Nami ni Noretara",Ride Your Wave,MOVIE,ORIGINAL,"{'year': 2019, 'month': 6, 'day': 21}","{'year': 2019, 'month': 6, 'day': 21}",SPRING,1,94,"['Drama', 'Fantasy', 'Romance']",7.0,75,85640
Kimikiss pure rouge,Kimikiss,TV,VISUAL_NOVEL,"{'year': 2007, 'month': 10, 'day': 7}","{'year': 2008, 'month': 3, 'day': 23}",FALL,24,24,"['Drama', 'Romance']",7.0,69,13470
Kishuku Gakkou no Juliet,Boarding School Juliet,TV,MANGA,"{'year': 2018, 'month': 10, 'day': 6}","{'year': 2018, 'month': 12, 'day': 22}",FALL,12,25,"['Comedy', 'Romance']",8.0,72,94562
kiss×sis (TV),,TV,MANGA,"{'year': 2010, 'month': 4, 'day': 5}","{'year': 2010, 'month': 6, 'day': 21}",SPRING,12,24,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",6.0,59,93016
Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Tekketsu,MOVIE,LIGHT_NOVEL,"{'year': 2016, 'month': 1, 'day': 8}","{'year': 2016, 'month': 1, 'day': 8}",WINTER,1,64,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",8.0,83,143757
